City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Alvdal,NO,2022-05-21 21:33:14,62.1077,10.6307,45.66,80,100,3.06
182,Ponta Do Sol,PT,2022-05-21 21:31:40,32.6667,-17.1,67.71,84,40,2.51
183,Lasa,IT,2022-05-21 21:31:07,46.6166,10.7002,63.48,72,88,5.21
184,Hasaki,JP,2022-05-21 21:32:15,35.7333,140.8333,61.29,89,100,18.05
185,Solnechnyy,RU,2022-05-21 21:34:15,50.7214,136.6319,38.19,97,100,8.23
186,Lagoa,PT,2022-05-21 21:34:15,39.05,-27.9833,63.39,94,86,2.91
187,Sabang,ID,2022-05-21 21:34:16,5.8933,95.3214,83.26,78,100,21.85
188,Bambous Virieux,MU,2022-05-21 21:34:16,-20.3428,57.7575,73.65,78,20,4.61
189,Umtata,ZA,2022-05-21 21:34:17,-31.5889,28.7844,50.23,96,100,1.61
190,Longyearbyen,SJ,2022-05-21 21:31:07,78.2186,15.6401,35.44,80,75,10.36
191,Prince Rupert,CA,2022-05-21 21:31:34,54.3161,-130.3201,64.49,62,0,8.05
192,Novikovo,RU,2022-05-21 21:34:18,51.1537,37.8879,49.8,99,100,8.84
193,Muswellbrook,AU,2022-05-21 21:30:19,-32.2667,150.9,53.33,93,100,3.51
194,Serafimovich,RU,2022-05-21 21:34:18,49.5786,42.736,50.63,90,100,11.23
195,Asau,RO,2022-05-21 21:34:19,46.4333,26.4,65.32,92,4,1.59
196,Constitucion,CL,2022-05-21 21:34:19,-35.3333,-72.4167,54.46,72,100,9.17
197,Tripoli,LY,2022-05-21 21:34:19,32.8752,13.1875,66.76,54,0,8.95
198,Baixo Guandu,BR,2022-05-21 21:34:20,-19.5189,-41.0158,64.17,66,0,4.92
199,La Palma,US,2022-05-21 21:32:09,33.8464,-118.0467,77.86,61,75,12.66
200,Langenburg,DE,2022-05-21 21:34:21,49.2544,9.8458,56.91,87,75,2.3
201,Tuatapere,NZ,2022-05-21 21:34:21,-46.1333,167.6833,48.15,87,99,13.18
202,Talnakh,RU,2022-05-21 21:34:21,69.4865,88.3972,40.21,100,100,2.95
203,Darab,IR,2022-05-21 21:30:20,28.7519,54.5444,81.79,13,0,8.23
204,Mount Isa,AU,2022-05-21 21:31:21,-20.7333,139.5,56.97,82,45,3.44
205,Necochea,AR,2022-05-21 21:34:22,-38.5473,-58.7368,52.09,78,99,6.73
206,Mahebourg,MU,2022-05-21 21:34:23,-20.4081,57.7,73.69,78,20,4.61
207,Mae Hong Son,TH,2022-05-21 21:34:23,19.3003,97.9685,70.65,99,100,0.76
208,Novo Aripuana,BR,2022-05-21 21:34:23,-5.1206,-60.3797,77.76,75,74,1.3
209,Adrar,MR,2022-05-21 21:34:24,20.5022,-10.0711,91.49,9,1,7.85
210,Rio Gallegos,AR,2022-05-21 21:31:49,-51.6226,-69.2181,37.45,70,20,9.22
211,Manjeri,IN,2022-05-21 21:34:25,11.1167,76.1167,75.88,94,75,2.3
212,Maloy,NO,2022-05-21 21:34:25,61.9353,5.1136,49.73,85,99,13.65
213,Otane,NZ,2022-05-21 21:34:25,-39.8833,176.6333,60.01,64,78,10.54
214,Trincomalee,LK,2022-05-21 21:34:26,8.5711,81.2335,81.34,79,59,21.59
215,San Patricio,US,2022-05-21 21:34:26,28.017,-97.5169,95.72,55,7,18.7
216,Norman Wells,CA,2022-05-21 21:34:27,65.282,-126.8329,44.64,81,100,14.97
217,Carballo,ES,2022-05-21 21:34:27,43.213,-8.691,71.29,95,100,5.73
218,Gairo,IT,2022-05-21 21:34:27,39.8497,9.5047,61.81,47,7,5.61
219,Elbrus,RU,2022-05-21 21:34:28,43.2577,42.6443,37.29,80,30,4.63
220,Talcahuano,CL,2022-05-21 21:34:28,-36.7167,-73.1167,56.88,82,75,4.61
221,Ostrovnoy,RU,2022-05-21 21:34:29,68.0531,39.5131,29.55,76,18,7.56
222,Monchegorsk,RU,2022-05-21 21:34:29,67.9397,32.8739,32.58,93,100,13.58
223,Pacific Grove,US,2022-05-21 21:34:28,36.6177,-121.9166,75.24,75,0,12.66
224,Isabela,PH,2022-05-21 21:34:30,6.7085,121.9711,77.05,84,100,3.56
225,Guerrero Negro,MX,2022-05-21 21:34:30,27.9769,-114.0611,70.95,52,4,14.99
226,Ugoofaaru,MV,2022-05-21 21:34:30,5.6667,73.0,82.74,79,59,14.7
227,Jacqueville,CI,2022-05-21 21:34:31,5.2052,-4.4146,76.46,88,100,15.21
228,Szentlorinc,HU,2022-05-21 21:34:31,46.0402,17.9872,65.28,85,100,3.65
229,Lompoc,US,2022-05-21 21:34:32,34.6391,-120.4579,76.01,62,0,13.8
230,Puerto Baquerizo Moreno,EC,2022-05-21 21:35:32,-0.9,-89.6,79.79,61,40,13.8
231,Zyryanka,RU,2022-05-21 21:35:33,65.75,150.85,50.45,55,97,15.39
232,Airai,TL,2022-05-21 21:35:33,-8.9266,125.4092,57.94,90,47,3.56
233,Balkhash,KZ,2022-05-21 21:35:34,46.844,74.9804,65.84,55,30,10.42
234,Porto Novo,BJ,2022-05-21 21:35:34,6.4965,2.6036,78.62,88,100,6.8
235,Roald,NO,2022-05-21 21:35:34,62.5833,6.1333,52.32,87,20,3.44
236,Puerto Colombia,CO,2022-05-21 21:35:35,10.9878,-74.9547,86.09,78,38,14.67
237,Mindelo,CV,2022-05-21 21:35:35,16.8901,-24.9804,72.95,68,75,17.27
238,Ales,FR,2022-05-21 21:35:36,44.1333,4.0833,72.7,82,40,3.98
239,La Cruz,MX,2022-05-21 21:35:36,23.9167,-106.9,81.95,50,0,8.97
240,Komsomolskiy,UZ,2022-05-21 21:35:37,40.4272,71.7189,66.92,68,75,11.5
241,Maniitsoq,GL,2022-05-21 21:35:37,65.4167,-52.9,37.83,72,97,17.18
242,Honiara,SB,2022-05-21 21:35:37,-9.4333,159.95,83.77,71,10,2.75
243,Kattivakkam,IN,2022-05-21 21:35:38,13.2167,80.3167,87.08,68,90,18.37
244,Vikindu,TZ,2022-05-21 21:35:38,-7.0067,39.2985,72.1,91,86,4.76
245,Kiknur,RU,2022-05-21 21:35:39,57.3034,47.2011,30.81,97,96,6.98
246,Sudak,UA,2022-05-21 21:35:39,44.85,34.9667,56.05,79,31,12.97
247,The Valley,AI,2022-05-21 21:35:40,18.217,-63.0578,84.06,69,20,12.66
248,Sinnamary,GF,2022-05-21 21:35:40,5.3833,-52.95,77.11,88,99,12.84
249,Cherskiy,RU,2022-05-21 21:35:40,68.75,161.3,54.52,48,25,17.11
250,Sao Felix Do Xingu,BR,2022-05-21 21:31:44,-6.6447,-51.995,75.18,74,43,1.79
251,Srednekolymsk,RU,2022-05-21 21:35:41,67.45,153.6833,55.29,45,100,11.21
252,Dehui,CN,2022-05-21 21:35:42,44.5333,125.7,61.77,48,3,6.87
253,Olafsvik,IS,2022-05-21 21:35:42,64.8945,-23.7142,42.53,82,73,18.28
254,Matay,EG,2022-05-21 21:35:42,28.419,30.7792,71.6,22,37,11.1
255,Henties Bay,NA,2022-05-21 21:35:43,-22.116,14.2845,57.56,71,0,10.38
256,Rey Bouba,CM,2022-05-21 21:35:43,8.6724,14.1786,83.93,58,75,3.6
257,Noumea,NC,2022-05-21 21:35:44,-22.2763,166.4572,77.0,99,99,13.11
258,Tambacounda,SN,2022-05-21 21:35:44,13.7539,-13.7586,95.05,24,0,4.61
259,Kununurra,AU,2022-05-21 21:35:44,-15.7667,128.7333,66.18,55,29,4.61
260,Port Lincoln,AU,2022-05-21 21:35:45,-34.7333,135.8667,58.44,82,1,9.89
261,Bjornevatn,NO,2022-05-21 21:35:45,69.6672,29.9847,43.14,75,100,5.75
262,Inhambane,MZ,2022-05-21 21:35:46,-23.865,35.3833,70.16,92,100,5.73
263,Chuy,UY,2022-05-21 21:35:46,-33.6971,-53.4616,54.39,79,100,6.13
264,Araguacu,BR,2022-05-21 21:35:47,-12.9306,-49.8264,69.4,40,7,3.38
265,Egvekinot,RU,2022-05-21 21:35:47,66.3167,-179.1667,45.32,54,25,2.28
266,College,US,2022-05-21 21:35:48,64.8569,-147.8028,75.0,28,40,5.75
267,Lazaro Cardenas,MX,2022-05-21 21:35:48,17.9583,-102.2,82.72,64,8,9.78
268,Pangkalanbuun,ID,2022-05-21 21:35:49,-2.6833,111.6167,74.3,96,93,2.39
269,Udachnyy,RU,2022-05-21 21:35:49,66.4167,112.4,46.22,67,13,2.66
270,Bannu,PK,2022-05-21 21:35:49,32.9854,70.6027,84.06,21,0,3.24
271,Yaqui,MX,2022-05-21 21:35:50,27.3667,-110.1667,86.56,27,0,13.4
272,Comodoro Rivadavia,AR,2022-05-21 21:35:50,-45.8667,-67.5,55.26,44,0,11.5
273,Havelock,US,2022-05-21 21:35:51,34.8791,-76.9013,84.15,78,0,17.27
274,Zhigansk,RU,2022-05-21 21:36:51,66.7697,123.3711,36.9,76,14,6.08
275,Gizo,SB,2022-05-21 21:36:52,-8.103,156.8419,82.96,73,15,7.25
276,Nishihara,JP,2022-05-21 21:36:52,26.1842,127.7558,70.88,94,40,12.66
277,Sabha,LY,2022-05-21 21:36:53,27.0377,14.4283,70.03,16,0,11.05
278,Beloha,MG,2022-05-21 21:36:53,-25.1667,45.05,67.86,51,5,6.13
279,Souillac,MU,2022-05-21 21:36:54,-20.5167,57.5167,73.78,78,20,4.61
280,Akcaabat,TR,2022-05-21 21:36:54,41.0212,39.5715,57.07,72,0,3.44
281,Bambanglipuro,ID,2022-05-21 21:36:54,-7.95,110.2833,75.36,92,100,3.51
282,Santiago De Chuco,PE,2022-05-21 21:36:55,-8.15,-78.1833,56.12,72,91,2.77
283,Codrington,AU,2022-05-21 21:36:55,-38.2667,141.9667,43.66,93,6,6.89
284,Mnogovershinnyy,RU,2022-05-21 21:36:56,53.9353,139.9242,31.82,94,100,5.59
285,Aykhal,RU,2022-05-21 21:36:56,66.0,111.5,46.11,70,30,2.21
286,Atar,MR,2022-05-21 21:36:57,20.5169,-13.0499,89.87,16,1,3.94
287,Karaj,IR,2022-05-21 21:36:57,35.8355,51.0103,55.92,50,0,18.41
288,Vao,NC,2022-05-21 21:36:57,-22.6667,167.4833,73.9,87,95,25.81
289,Hoyanger,NO,2022-05-21 21:36:58,61.2204,6.0749,49.66,93,100,2.28
290,Kasongo,CD,2022-05-21 21:36:58,-4.45,26.6667,70.03,83,100,0.87
291,Nhamunda,BR,2022-05-21 21:36:59,-2.1861,-56.7131,74.86,92,53,1.9
292,Kodarma,IN,2022-05-21 21:36:59,24.4667,85.6,77.67,59,96,6.51
